sample_id,metric,page,value,numeric_presence,scope,unit
000589.SZ:2023,liabilities,95,9279803936.09,True,consolidated,CNY yuan
000589.SZ:2023,equity,95,6481774586.45,True,consolidated,CNY yuan
000589.SZ:2023,revenue,97,8439860381.14,True,consolidated,CNY yuan
000589.SZ:2023,management_expense,98,391144211.33,True,consolidated,CNY yuan
000589.SZ:2023,operating_profit,98,450904719.45,True,consolidated,CNY yuan
000589.SZ:2023,net_profit,98,431621827.47,True,consolidated,CNY yuan
000589.SZ:2023,ocf,101,-111112685.19,True,consolidated,CNY yuan
000593.SZ:2023,receivables,81,85120654.25,True,consolidated,CNY yuan
000593.SZ:2023,inventory,81,94616627.22,True,consolidated,CNY yuan
000593.SZ:2023,current_assets,81,604646960.01,True,consolidated,CNY yuan
000593.SZ:2023,assets,82,2184029202.43,True,consolidated,CNY yuan
000593.SZ:2023,current_liabilities,82,688670527.02,True,consolidated,CNY yuan
000593.SZ:2023,liabilities,83,1028228096.97,True,consolidated,CNY yuan
000593.SZ:2023,equity,83,1155801105.46,True,consolidated,CNY yuan
000593.SZ:2023,revenue,85,1469080104.04,True,consolidated,CNY yuan
000593.SZ:2023,management_expense,86,78287557.40,True,consolidated,CNY yuan
000593.SZ:2023,operating_profit,86,67473983.76,True,consolidated,CNY yuan
000593.SZ:2023,net_profit,86,47155864.29,True,consolidated,CNY yuan
000593.SZ:2023,ocf,88,175383072.96,True,consolidated,CNY yuan
000598.SZ:2023,receivables,109,2131426643.50,True,consolidated,CNY yuan
000598.SZ:2023,inventory,109,229691302.10,True,consolidated,CNY yuan
000598.SZ:2023,current_assets,109,7416935570.56,True,consolidated,CNY yuan
000598.SZ:2023,assets,110,38338609218.82,True,consolidated,CNY yuan
000598.SZ:2023,current_liabilities,110,8148714368.68,True,consolidated,CNY yuan
000598.SZ:2023,liabilities,111,22603131368.34,True,consolidated,CNY yuan
000598.SZ:2023,equity,111,15735477850.48,True,consolidated,CNY yuan
000598.SZ:2023,revenue,113,7629679194.08,True,consolidated,CNY yuan
000598.SZ:2023,management_expense,114,464360221.31,True,consolidated,CNY yuan
000598.SZ:2023,operating_profit,114,1971975957.44,True,consolidated,CNY yuan
000598.SZ:2023,net_profit,114,1692619464.94,True,consolidated,CNY yuan
000598.SZ:2023,ocf,117,3315126467.75,True,consolidated,CNY yuan
000599.SZ:2023,receivables,64,633271109.50,True,consolidated,CNY yuan
000599.SZ:2023,inventory,64,1220871888.44,True,consolidated,CNY yuan
000599.SZ:2023,current_assets,64,4052837683.62,True,consolidated,CNY yuan
000599.SZ:2023,assets,65,9863338144.53,True,consolidated,CNY yuan
000599.SZ:2023,current_liabilities,65,6513993634.38,True,consolidated,CNY yuan
000599.SZ:2023,liabilities,66,7480291025.13,True,consolidated,CNY yuan
000599.SZ:2023,equity,66,2383047119.40,True,consolidated,CNY yuan
000599.SZ:2023,revenue,68,3910397748.47,True,consolidated,CNY yuan
000599.SZ:2023,management_expense,68,168609206.73,True,consolidated,CNY yuan
000599.SZ:2023,operating_profit,69,-687488616.53,True,consolidated,CNY yuan
000599.SZ:2023,net_profit,69,-691851018.60,True,consolidated,CNY yuan
000599.SZ:2023,ocf,72,336736408.75,True,consolidated,CNY yuan
000610.SZ:2023,receivables,61,71597268.59,True,consolidated,CNY yuan
000610.SZ:2023,inventory,61,280441302.09,True,consolidated,CNY yuan
000610.SZ:2023,current_assets,61,790916331.12,True,consolidated,CNY yuan
000610.SZ:2023,assets,62,2030607111.41,True,consolidated,CNY yuan
000610.SZ:2023,current_liabilities,62,893764371.49,True,consolidated,CNY yuan
000610.SZ:2023,liabilities,63,1384146421.32,True,consolidated,CNY yuan
000610.SZ:2023,equity,63,646460690.09,True,consolidated,CNY yuan
000610.SZ:2023,revenue,65,395994842.73,True,consolidated,CNY yuan
000610.SZ:2023,management_expense,65,72336299.28,True,consolidated,CNY yuan
000610.SZ:2023,operating_profit,66,-176914185.74,True,consolidated,CNY yuan
000610.SZ:2023,net_profit,66,-182375864.78,True,consolidated,CNY yuan
000610.SZ:2023,ocf,68,-209119143.99,True,consolidated,CNY yuan
000612.SZ:2023,receivables,75,24654557.29,True,consolidated,CNY yuan
000612.SZ:2023,inventory,75,544928342.86,True,consolidated,CNY yuan
000612.SZ:2023,current_assets,75,2095664344.76,True,consolidated,CNY yuan
000612.SZ:2023,assets,76,7840386822.19,True,consolidated,CNY yuan
000612.SZ:2023,current_liabilities,77,1775639098.63,True,consolidated,CNY yuan
000612.SZ:2023,liabilities,77,2545078232.83,True,consolidated,CNY yuan
000612.SZ:2023,equity,78,5295308589.36,True,consolidated,CNY yuan
000612.SZ:2023,revenue,80,6676094278.60,True,consolidated,CNY yuan
000612.SZ:2023,management_expense,81,114315239.48,True,consolidated,CNY yuan
000612.SZ:2023,operating_profit,81,204350537.62,True,consolidated,CNY yuan
000612.SZ:2023,net_profit,82,303080712.74,True,consolidated,CNY yuan
000612.SZ:2023,ocf,85,628301260.21,True,consolidated,CNY yuan
000626.SZ:2023,receivables,75,1074941762.94,True,consolidated,CNY yuan
000626.SZ:2023,inventory,75,991821620.34,True,consolidated,CNY yuan
000626.SZ:2023,current_assets,75,6129987554.72,True,consolidated,CNY yuan
000626.SZ:2023,assets,75,7792783558.14,True,consolidated,CNY yuan
000626.SZ:2023,current_liabilities,76,4009902546.60,True,consolidated,CNY yuan
000626.SZ:2023,liabilities,76,4515488519.32,True,consolidated,CNY yuan
000626.SZ:2023,equity,77,3277295038.82,True,consolidated,CNY yuan
000626.SZ:2023,revenue,79,82007904175.91,True,consolidated,CNY yuan
000626.SZ:2023,management_expense,79,203263017.86,True,consolidated,CNY yuan
000626.SZ:2023,operating_profit,80,247865049.22,True,consolidated,CNY yuan
000626.SZ:2023,net_profit,80,172737756.37,True,consolidated,CNY yuan
000626.SZ:2023,ocf,83,-841937116.50,True,consolidated,CNY yuan
000628.SZ:2023,receivables,75,1038483773.32,True,consolidated,CNY yuan
000628.SZ:2023,inventory,75,67148575.83,True,consolidated,CNY yuan
000628.SZ:2023,current_assets,75,12624360118.82,True,consolidated,CNY yuan
000628.SZ:2023,assets,76,13677871066.54,True,consolidated,CNY yuan
