sample_id,industry_prior_code,industry_public_date,industry_source_url,industry_source_page,requirements,label,document_id,report_url,report_disclosed_date,mda_page,original_classification_row,annual_pdf_sha256,original_classification_row_found,annual_pdf_matches_archive,status,exact_2023_code_certified
002227.SZ:2023,C38,2021-11-10,https://www.csrc.gov.cn/csrc/c100103/c1558619/1558619/files/1638277734844_11692.pdf,53,historical_industry,0,1216593115,https://static.cninfo.com.cn/finalpage/2023-04-26/1216593115.PDF,2023-04-26,11,002227 奥特迅,6effcf258a077d2831fe1907a8e435a1b8fb70961b0d47cf5f1bbf58fd646ad2,True,True,source_chain_recovered; current_sector_adjudication_pending,False
002246.SZ:2023,C26,2021-11-10,https://www.csrc.gov.cn/csrc/c100103/c1558619/1558619/files/1638277734844_11692.pdf,14,historical_industry,0,1216441449,https://static.cninfo.com.cn/finalpage/2023-04-18/1216441449.PDF,2023-04-18,10,002246 北化股份,c356044dc9968c6aacd7de66101ca6a71f328e6fb93c2272f3574fa9c324945a,True,True,source_chain_recovered; current_sector_adjudication_pending,False
002249.SZ:2023,C38,2021-11-10,https://www.csrc.gov.cn/csrc/c100103/c1558619/1558619/files/1638277734844_11692.pdf,53,historical_industry,0,1216563400,https://static.cninfo.com.cn/finalpage/2023-04-25/1216563400.PDF,2023-04-25,13,002249 大洋电机,7767d7ce90e4fb7876ef702aed24e00b4d60bef9d4ba0c793357c4244033712d,True,True,source_chain_recovered; current_sector_adjudication_pending,False
002254.SZ:2023,C28,2021-11-10,https://www.csrc.gov.cn/csrc/c100103/c1558619/1558619/files/1638277734844_11692.pdf,26,historical_industry,0,1216167901,https://static.cninfo.com.cn/finalpage/2023-03-21/1216167901.PDF,2023-03-21,11,002254 泰和新材,e538c736885d8ca61929ca00e279c9cae1bf0d11e703ffcb28881b44ad985c10,True,True,source_chain_recovered; current_sector_adjudication_pending,False
002255.SZ:2023,C34,2021-11-10,https://www.csrc.gov.cn/csrc/c100103/c1558619/1558619/files/1638277734844_11692.pdf,37,historical_industry,0,1216371018,https://static.cninfo.com.cn/finalpage/2023-04-11/1216371018.PDF,2023-04-11,10,002255 海陆重工,a77d0319232f4483da4f43ed387d811dc453881bef53e7054855cc71bf129d07,True,True,source_chain_recovered; current_sector_adjudication_pending,False
002256.SZ:2023,D44,2021-11-10,https://www.csrc.gov.cn/csrc/c100103/c1558619/1558619/files/1638277734844_11692.pdf,73,historical_industry,0,1216379720,https://static.cninfo.com.cn/finalpage/2023-04-12/1216379720.PDF,2023-04-12,14,002256 兆新股份,78a45123923e87404d6cead4d0b0fd06bba4e9b097911eec3649266c30e2d18c,True,True,source_chain_recovered; current_sector_adjudication_pending,False
002265.SZ:2023,C36,2021-11-10,https://www.csrc.gov.cn/csrc/c100103/c1558619/1558619/files/1638277734844_11692.pdf,48,historical_industry,0,1216561363,https://static.cninfo.com.cn/finalpage/2023-04-25/1216561363.PDF,2023-04-25,10,002265 西仪股份,c8ecab1deb145b970aac419713de9ca8352e10eb65050868ba668402677867d6,True,True,source_chain_recovered; current_sector_adjudication_pending,False
002267.SZ:2023,D45,2021-11-10,https://www.csrc.gov.cn/csrc/c100103/c1558619/1558619/files/1638277734844_11692.pdf,75,historical_industry,0,1216369872,https://static.cninfo.com.cn/finalpage/2023-04-11/1216369872.PDF,2023-04-11,10,002267 陕天然气,7210a8aeee4b0e6e74812840f9838876be2e4b89a57c015f694274b178fdd028,True,True,source_chain_recovered; current_sector_adjudication_pending,False
002271.SZ:2023,C30,2021-11-10,https://www.csrc.gov.cn/csrc/c100103/c1558619/1558619/files/1638277734844_11692.pdf,30,historical_industry,0,1216394196,https://static.cninfo.com.cn/finalpage/2023-04-13/1216394196.PDF,2023-04-13,10,002271 东方雨虹,dad1091805d860795f066d9d399f286973df2d03109e3e9e3b55084678ee6fce,True,True,source_chain_recovered; current_sector_adjudication_pending,False
002272.SZ:2023,C34,2021-11-10,https://www.csrc.gov.cn/csrc/c100103/c1558619/1558619/files/1638277734844_11692.pdf,37,historical_industry,0,1216683565,https://static.cninfo.com.cn/finalpage/2023-04-29/1216683565.PDF,2023-04-29,11,002272 川润股份,093baf29948d865e727a473e3df460d5e05aac96a499245c3cee279caf6b9c1e,True,True,source_chain_recovered; current_sector_adjudication_pending,False
002275.SZ:2023,C27,2021-11-10,https://www.csrc.gov.cn/csrc/c100103/c1558619/1558619/files/1638277734844_11692.pdf,21,historical_industry,0,1216646871,https://static.cninfo.com.cn/finalpage/2023-04-28/1216646871.PDF,2023-04-28,10,002275 桂林三金,742749c3036c233f0cdff50744eac7c4c739bfd935e921887c2a37e08ad151d4,True,True,source_chain_recovered; current_sector_adjudication_pending,False
002286.SZ:2023,C13,2021-11-10,https://www.csrc.gov.cn/csrc/c100103/c1558619/1558619/files/1638277734844_11692.pdf,4,historical_industry,0,1216649151,https://static.cninfo.com.cn/finalpage/2023-04-28/1216649151.PDF,2023-04-28,11,002286 保龄宝,926f49549f072ea2905e1b049593814ae333d5c3d8daa0f552a142b0963d83de,True,True,source_chain_recovered; current_sector_adjudication_pending,False
002290.SZ:2023,C38,2021-11-10,https://www.csrc.gov.cn/csrc/c100103/c1558619/1558619/files/1638277734844_11692.pdf,53,historical_industry,0,1216256122,https://static.cninfo.com.cn/finalpage/2023-03-30/1216256122.PDF,2023-03-30,10,002290 禾盛新材,d8bebe10de95a652230810c798c64b9497168af436a220a610bbd029f92edcff,True,True,source_chain_recovered; current_sector_adjudication_pending,False
002293.SZ:2023,C17,2021-11-10,https://www.csrc.gov.cn/csrc/c100103/c1558619/1558619/files/1638277734844_11692.pdf,8,historical_industry,0,1216473950,https://static.cninfo.com.cn/finalpage/2023-04-20/1216473950.PDF,2023-04-20,9,002293 罗莱生活,9433b7a95b3ac39be4216901e7d1e7bdf9b55501730762fbe526d46c9965349a,True,True,source_chain_recovered; current_sector_adjudication_pending,False
002294.SZ:2023,C27,2021-11-10,https://www.csrc.gov.cn/csrc/c100103/c1558619/1558619/files/1638277734844_11692.pdf,21,historical_industry,0,1216245817,https://static.cninfo.com.cn/finalpage/2023-03-29/1216245817.PDF,2023-03-29,13,002294 信立泰,df4690a21ed9aa72cf593d7fa2ca3e2f8f94c51750cac6ee0ccdd2fdc9df2864,True,True,source_chain_recovered; current_sector_adjudication_pending,False
