model,seed,point,recall,precision,false_positive_rate
financial_only,17,71,0.9090909090909091,0.14084507042253522,0.2975609756097561
financial_only,17,72,0.9090909090909091,0.1388888888888889,0.3024390243902439
financial_only,17,73,0.9090909090909091,0.136986301369863,0.3073170731707317
financial_only,17,74,0.9090909090909091,0.13513513513513514,0.3121951219512195
financial_only,17,75,0.9090909090909091,0.13333333333333333,0.3170731707317073
financial_only,17,76,0.9090909090909091,0.13157894736842105,0.32195121951219513
financial_only,17,77,0.9090909090909091,0.12987012987012986,0.32682926829268294
financial_only,17,78,0.9090909090909091,0.1282051282051282,0.33170731707317075
financial_only,17,79,0.9090909090909091,0.12658227848101267,0.33658536585365856
financial_only,17,80,0.9090909090909091,0.125,0.34146341463414637
financial_only,17,81,0.9090909090909091,0.12345679012345678,0.3463414634146341
financial_only,17,82,0.9090909090909091,0.12195121951219512,0.35121951219512193
financial_only,17,83,0.9090909090909091,0.12048192771084337,0.35609756097560974
financial_only,17,84,0.9090909090909091,0.11904761904761904,0.36097560975609755
financial_only,17,85,0.9090909090909091,0.11764705882352941,0.36585365853658536
financial_only,17,86,0.9090909090909091,0.11627906976744186,0.37073170731707317
financial_only,17,87,0.9090909090909091,0.11494252873563218,0.375609756097561
financial_only,17,88,0.9090909090909091,0.11363636363636363,0.3804878048780488
financial_only,17,89,0.9090909090909091,0.11235955056179775,0.3853658536585366
financial_only,17,90,0.9090909090909091,0.1111111111111111,0.3902439024390244
financial_only,17,91,0.9090909090909091,0.10989010989010989,0.3951219512195122
financial_only,17,92,0.9090909090909091,0.10869565217391304,0.4
financial_only,17,93,0.9090909090909091,0.10752688172043011,0.40487804878048783
financial_only,17,94,0.9090909090909091,0.10638297872340426,0.4097560975609756
financial_only,17,95,0.9090909090909091,0.10526315789473684,0.4146341463414634
financial_only,17,96,0.9090909090909091,0.10416666666666667,0.4195121951219512
financial_only,17,97,0.9090909090909091,0.10309278350515463,0.424390243902439
financial_only,17,98,0.9090909090909091,0.10204081632653061,0.4292682926829268
financial_only,17,99,0.9090909090909091,0.10101010101010101,0.43414634146341463
financial_only,17,100,0.9090909090909091,0.1,0.43902439024390244
financial_only,17,101,0.9090909090909091,0.09900990099009901,0.44390243902439025
financial_only,17,102,0.9090909090909091,0.09803921568627451,0.44878048780487806
financial_only,17,103,0.9090909090909091,0.0970873786407767,0.45365853658536587
financial_only,17,104,0.9090909090909091,0.09615384615384616,0.4585365853658537
financial_only,17,105,0.9090909090909091,0.09523809523809523,0.4634146341463415
financial_only,17,106,0.9090909090909091,0.09433962264150944,0.4682926829268293
financial_only,17,107,0.9090909090909091,0.09345794392523364,0.47317073170731705
financial_only,17,108,0.9090909090909091,0.09259259259259259,0.47804878048780486
financial_only,17,109,0.9090909090909091,0.09174311926605505,0.48292682926829267
financial_only,17,110,0.9090909090909091,0.09090909090909091,0.4878048780487805
financial_only,17,111,0.9090909090909091,0.09009009009009009,0.4926829268292683
financial_only,17,112,0.9090909090909091,0.08928571428571429,0.4975609756097561
financial_only,17,113,0.9090909090909091,0.08849557522123894,0.5024390243902439
financial_only,17,114,0.9090909090909091,0.08771929824561403,0.5073170731707317
financial_only,17,115,0.9090909090909091,0.08695652173913043,0.5121951219512195
financial_only,17,116,0.9090909090909091,0.08620689655172414,0.5170731707317073
financial_only,17,117,0.9090909090909091,0.08547008547008547,0.5219512195121951
financial_only,17,118,0.9090909090909091,0.0847457627118644,0.526829268292683
financial_only,17,119,0.9090909090909091,0.08403361344537816,0.5317073170731708
financial_only,17,120,0.9090909090909091,0.08333333333333333,0.5365853658536586
financial_only,17,121,0.9090909090909091,0.08264462809917356,0.5414634146341464
financial_only,17,122,0.9090909090909091,0.08196721311475409,0.5463414634146342
financial_only,17,123,0.9090909090909091,0.08130081300813008,0.551219512195122
financial_only,17,124,0.9090909090909091,0.08064516129032258,0.5560975609756098
financial_only,17,125,0.9090909090909091,0.08,0.5609756097560976
financial_only,17,126,0.9090909090909091,0.07936507936507936,0.5658536585365853
financial_only,17,127,0.9090909090909091,0.07874015748031496,0.5707317073170731
financial_only,17,128,0.9090909090909091,0.078125,0.5756097560975609
financial_only,17,129,0.9090909090909091,0.07751937984496124,0.5804878048780487
financial_only,17,130,0.9090909090909091,0.07692307692307693,0.5853658536585366
financial_only,17,131,1.0,0.08396946564885496,0.5853658536585366
financial_only,17,132,1.0,0.08333333333333333,0.5902439024390244
financial_only,17,133,1.0,0.08270676691729323,0.5951219512195122
financial_only,17,134,1.0,0.08208955223880597,0.6
financial_only,17,135,1.0,0.08148148148148149,0.6048780487804878
financial_only,17,136,1.0,0.08088235294117647,0.6097560975609756
financial_only,17,137,1.0,0.08029197080291971,0.6146341463414634
financial_only,17,138,1.0,0.07971014492753623,0.6195121951219512
financial_only,17,139,1.0,0.07913669064748201,0.624390243902439
financial_only,17,140,1.0,0.07857142857142857,0.6292682926829268
financial_only,17,141,1.0,0.07801418439716312,0.6341463414634146
financial_only,17,142,1.0,0.07746478873239436,0.6390243902439025
financial_only,17,143,1.0,0.07692307692307693,0.6439024390243903
financial_only,17,144,1.0,0.0763888888888889,0.6487804878048781
financial_only,17,145,1.0,0.07586206896551724,0.6536585365853659
financial_only,17,146,1.0,0.07534246575342465,0.6585365853658537
financial_only,17,147,1.0,0.07482993197278912,0.6634146341463415
financial_only,17,148,1.0,0.07432432432432433,0.6682926829268293
financial_only,17,149,1.0,0.0738255033557047,0.6731707317073171
financial_only,17,150,1.0,0.07333333333333333,0.6780487804878049
financial_only,17,151,1.0,0.0728476821192053,0.6829268292682927
financial_only,17,152,1.0,0.07236842105263158,0.6878048780487804
financial_only,17,153,1.0,0.0718954248366013,0.6926829268292682
financial_only,17,154,1.0,0.07142857142857142,0.697560975609756
financial_only,17,155,1.0,0.07096774193548387,0.7024390243902439
financial_only,17,156,1.0,0.07051282051282051,0.7073170731707317
financial_only,17,157,1.0,0.07006369426751592,0.7121951219512195
financial_only,17,158,1.0,0.06962025316455696,0.7170731707317073
financial_only,17,159,1.0,0.06918238993710692,0.7219512195121951
financial_only,17,160,1.0,0.06875,0.7268292682926829
financial_only,17,161,1.0,0.06832298136645963,0.7317073170731707
financial_only,17,162,1.0,0.06790123456790123,0.7365853658536585
financial_only,17,163,1.0,0.06748466257668712,0.7414634146341463
financial_only,17,164,1.0,0.06707317073170732,0.7463414634146341
financial_only,17,165,1.0,0.06666666666666667,0.751219512195122
financial_only,17,166,1.0,0.06626506024096386,0.7560975609756098
financial_only,17,167,1.0,0.0658682634730539,0.7609756097560976
financial_only,17,168,1.0,0.06547619047619048,0.7658536585365854
financial_only,17,169,1.0,0.0650887573964497,0.7707317073170732
financial_only,17,170,1.0,0.06470588235294118,0.775609756097561
