sample_id,firm_id,origin,industry_status,industry_code,industry_public_date,industry_source_page,industry_source_url,baseline_st_name_evidence,baseline_st,st_source_url,st_source_public_date,baseline_quarter,baseline_audit,baseline_status,available_financial_facts,annual_missing,quarterly_missing,completeness_status,screening_status,analytical_eligible
000031.SZ:2023,000031.SZ,2023-05-01,pending,,,,,0,,,,,,pending,0,,,pending_source_review,pending,0
000031.SZ:2024,000031.SZ,2024-05-01,pass_preorigin_classification,K70,2024-04-03,1,https://sp.capco.org.cn:82/file/202603/hangyefenlei/2023xiaban/2023xiabangupiaodaima.pdf,0,,,,,,pending,0,,,pending_source_review,pending,0
000031.SZ:2025,000031.SZ,2025-05-01,pass_preorigin_classification,K70,2025-04-18,1,https://sp.capco.org.cn:82/file/202603/hangyefenlei/2024xiaban/hangyefenleigupiaodaima.pdf,0,,,,,,pending,0,,,pending_source_review,pending,0
000040.SZ:2017,000040.SZ,2017-05-01,pass_preorigin_classification,K70,2017-02-16,63,https://www.csrc.gov.cn/csrc/c100103/c1452008/1452008/files/1616066692059_33259.pdf,0,,,,,,pending,0,,,pending_source_review,pending,0
000040.SZ:2018,000040.SZ,2018-05-01,pass_preorigin_classification,E48,2018-01-19,58,https://www.csrc.gov.cn/csrc/c100103/c1452004/1452004/files/1616066687576_64273.pdf,0,,,,,,pending,0,,,pending_source_review,pending,0
000040.SZ:2019,000040.SZ,2019-05-01,pass_preorigin_classification,D44,2019-04-19,57,https://www.csrc.gov.cn/csrc/c100103/c1451999/1451999/files/1616066680642_59642.pdf,0,,,,,,pending,0,,,pending_source_review,pending,0
000040.SZ:2020,000040.SZ,2020-05-01,pass_preorigin_classification,D44,2020-04-14,61,https://www.csrc.gov.cn/csrc/c100103/c1451995/1451995/files/1616066675411_69786.pdf,0,,,,,,pending,0,,,pending_source_review,pending,0
000040.SZ:2021,000040.SZ,2021-05-01,pass_preorigin_classification,D44,2021-04-14,68,https://www.csrc.gov.cn/csrc/c100103/c29a6845e0d0b4912adcc1cdfa5f679eb/29a6845e0d0b4912adcc1cdfa5f679eb/files/1629362473789_90940.pdf,0,,,,,,pending,0,,,pending_source_review,pending,0
000040.SZ:2022,000040.SZ,2022-05-01,pass_preorigin_classification,D44,2021-11-10,73,https://www.csrc.gov.cn/csrc/c100103/c1558619/1558619/files/1638277734844_11692.pdf,0,,,,,,pending,0,,,pending_source_review,pending,0
000040.SZ:2023,000040.SZ,2023-05-01,pending,,,,,0,,,,,,pending,0,,,pending_source_review,pending,0
000040.SZ:2024,000040.SZ,2024-05-01,pass_preorigin_classification,D44,2024-04-03,1,https://sp.capco.org.cn:82/file/202603/hangyefenlei/2023xiaban/2023xiabangupiaodaima.pdf,0,,,,,,pending,0,,,pending_source_review,pending,0
000042.SZ:2017,000042.SZ,2017-05-01,pass_preorigin_classification,K70,2017-02-16,63,https://www.csrc.gov.cn/csrc/c100103/c1452008/1452008/files/1616066692059_33259.pdf,0,,,,,,pending,0,,,pending_source_review,pending,0
000042.SZ:2018,000042.SZ,2018-05-01,pass_preorigin_classification,K70,2018-01-19,75,https://www.csrc.gov.cn/csrc/c100103/c1452004/1452004/files/1616066687576_64273.pdf,0,,,,,,pending,0,,,pending_source_review,pending,0
000042.SZ:2019,000042.SZ,2019-05-01,pass_preorigin_classification,K70,2019-04-19,78,https://www.csrc.gov.cn/csrc/c100103/c1451999/1451999/files/1616066680642_59642.pdf,0,,,,,,pending,0,,,pending_source_review,pending,0
000042.SZ:2020,000042.SZ,2020-05-01,pass_preorigin_classification,K70,2020-04-14,82,https://www.csrc.gov.cn/csrc/c100103/c1451995/1451995/files/1616066675411_69786.pdf,0,,,,,,pending,0,,,pending_source_review,pending,0
000042.SZ:2021,000042.SZ,2021-05-01,pass_preorigin_classification,K70,2021-04-14,91,https://www.csrc.gov.cn/csrc/c100103/c29a6845e0d0b4912adcc1cdfa5f679eb/29a6845e0d0b4912adcc1cdfa5f679eb/files/1629362473789_90940.pdf,0,,,,,,pending,0,,,pending_source_review,pending,0
000042.SZ:2022,000042.SZ,2022-05-01,pass_preorigin_classification,K70,2021-11-10,97,https://www.csrc.gov.cn/csrc/c100103/c1558619/1558619/files/1638277734844_11692.pdf,0,,,,,,pending,0,,,pending_source_review,pending,0
000042.SZ:2023,000042.SZ,2023-05-01,pending,,,,,0,,,,,,pending,0,,,pending_source_review,pending,0
000042.SZ:2024,000042.SZ,2024-05-01,pass_preorigin_classification,K70,2024-04-03,1,https://sp.capco.org.cn:82/file/202603/hangyefenlei/2023xiaban/2023xiabangupiaodaima.pdf,0,,,,,,pending,0,,,pending_source_review,pending,0
000042.SZ:2025,000042.SZ,2025-05-01,pass_preorigin_classification,K70,2025-04-18,1,https://sp.capco.org.cn:82/file/202603/hangyefenlei/2024xiaban/hangyefenleigupiaodaima.pdf,0,,,,,,pending,0,,,pending_source_review,pending,0
000048.SZ:2017,000048.SZ,2017-05-01,pass_preorigin_classification,C13,2017-02-16,3,https://www.csrc.gov.cn/csrc/c100103/c1452008/1452008/files/1616066692059_33259.pdf,0,,,,,,pending,0,,,pending_source_review,pending,0
000048.SZ:2018,000048.SZ,2018-05-01,pass_preorigin_classification,C13,2018-01-19,3,https://www.csrc.gov.cn/csrc/c100103/c1452004/1452004/files/1616066687576_64273.pdf,0,,,,,,pending,0,,,pending_source_review,pending,0
000048.SZ:2019,000048.SZ,2019-05-01,pass_preorigin_classification,C13,2019-04-19,3,https://www.csrc.gov.cn/csrc/c100103/c1451999/1451999/files/1616066680642_59642.pdf,1,,https://static.cninfo.com.cn/finalpage/2019-04-30/1206159800.PDF,2019-04-30,,,pending,0,,,pending_source_review,pending,0
000048.SZ:2020,000048.SZ,2020-05-01,pass_preorigin_classification,C13,2020-04-14,3,https://www.csrc.gov.cn/csrc/c100103/c1451995/1451995/files/1616066675411_69786.pdf,0,,,,,,pending,0,,,pending_source_review,pending,0
000048.SZ:2021,000048.SZ,2021-05-01,pass_preorigin_classification,C13,2021-04-14,3,https://www.csrc.gov.cn/csrc/c100103/c29a6845e0d0b4912adcc1cdfa5f679eb/29a6845e0d0b4912adcc1cdfa5f679eb/files/1629362473789_90940.pdf,0,,,,,,pending,0,,,pending_source_review,pending,0
000048.SZ:2022,000048.SZ,2022-05-01,pass_preorigin_classification,C13,2021-11-10,4,https://www.csrc.gov.cn/csrc/c100103/c1558619/1558619/files/1638277734844_11692.pdf,0,,,,,,pending,0,,,pending_source_review,pending,0
000048.SZ:2023,000048.SZ,2023-05-01,pending,,,,,0,,,,,,pending,0,,,pending_source_review,pending,0
000048.SZ:2024,000048.SZ,2024-05-01,pass_preorigin_classification,A03,2024-04-03,1,https://sp.capco.org.cn:82/file/202603/hangyefenlei/2023xiaban/2023xiabangupiaodaima.pdf,0,,,,,,pending,0,,,pending_source_review,pending,0
000048.SZ:2025,000048.SZ,2025-05-01,pass_preorigin_classification,A03,2025-04-18,1,https://sp.capco.org.cn:82/file/202603/hangyefenlei/2024xiaban/hangyefenleigupiaodaima.pdf,0,,,,,,pending,0,,,pending_source_review,pending,0
000055.SZ:2017,000055.SZ,2017-05-01,pass_preorigin_classification,C33,2017-02-16,24,https://www.csrc.gov.cn/csrc/c100103/c1452008/1452008/files/1616066692059_33259.pdf,0,,,,,,pending,0,,,pending_source_review,pending,0
000055.SZ:2018,000055.SZ,2018-05-01,pass_preorigin_classification,C33,2018-01-19,28,https://www.csrc.gov.cn/csrc/c100103/c1452004/1452004/files/1616066687576_64273.pdf,0,,,,,,pending,0,,,pending_source_review,pending,0
000055.SZ:2019,000055.SZ,2019-05-01,pass_preorigin_classification,C33,2019-04-19,29,https://www.csrc.gov.cn/csrc/c100103/c1451999/1451999/files/1616066680642_59642.pdf,0,,,,,,pending,0,,,pending_source_review,pending,0
000055.SZ:2020,000055.SZ,2020-05-01,pass_preorigin_classification,C33,2020-04-14,30,https://www.csrc.gov.cn/csrc/c100103/c1451995/1451995/files/1616066675411_69786.pdf,0,,,,,,pending,0,,,pending_source_review,pending,0
000055.SZ:2021,000055.SZ,2021-05-01,pass_preorigin_classification,C33,2021-04-14,33,https://www.csrc.gov.cn/csrc/c100103/c29a6845e0d0b4912adcc1cdfa5f679eb/29a6845e0d0b4912adcc1cdfa5f679eb/files/1629362473789_90940.pdf,0,,,,,,pending,0,,,pending_source_review,pending,0
000055.SZ:2022,000055.SZ,2022-05-01,pass_preorigin_classification,C33,2021-11-10,34,https://www.csrc.gov.cn/csrc/c100103/c1558619/1558619/files/1638277734844_11692.pdf,0,,,,,,pending,0,,,pending_source_review,pending,0
000055.SZ:2023,000055.SZ,2023-05-01,pending,,,,,0,,,,,,pending,0,,,pending_source_review,pending,0
000055.SZ:2024,000055.SZ,2024-05-01,pass_preorigin_classification,C33,2024-04-03,1,https://sp.capco.org.cn:82/file/202603/hangyefenlei/2023xiaban/2023xiabangupiaodaima.pdf,0,,,,,,pending,0,,,pending_source_review,pending,0
000055.SZ:2025,000055.SZ,2025-05-01,pass_preorigin_classification,C33,2025-04-18,1,https://sp.capco.org.cn:82/file/202603/hangyefenlei/2024xiaban/hangyefenleigupiaodaima.pdf,0,,,,,,pending,0,,,pending_source_review,pending,0
000068.SZ:2017,000068.SZ,2017-05-01,pass_preorigin_classification,C39,2017-02-16,39,https://www.csrc.gov.cn/csrc/c100103/c1452008/1452008/files/1616066692059_33259.pdf,0,,,,,,pending,0,,,pending_source_review,pending,0
000068.SZ:2018,000068.SZ,2018-05-01,pass_preorigin_classification,C39,2018-01-19,47,https://www.csrc.gov.cn/csrc/c100103/c1452004/1452004/files/1616066687576_64273.pdf,0,,,,,,pending,0,,,pending_source_review,pending,0
000068.SZ:2019,000068.SZ,2019-05-01,pass_preorigin_classification,C39,2019-04-19,48,https://www.csrc.gov.cn/csrc/c100103/c1451999/1451999/files/1616066680642_59642.pdf,0,,,,,,pending,0,,,pending_source_review,pending,0
000068.SZ:2020,000068.SZ,2020-05-01,pass_preorigin_classification,C39,2020-04-14,50,https://www.csrc.gov.cn/csrc/c100103/c1451995/1451995/files/1616066675411_69786.pdf,0,,,,,,pending,0,,,pending_source_review,pending,0
